classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.7522935779816514,0.6654881350533525,0.46534653465346537,0.6654881350533525,0.42342342342342343,0.5164835164835165
Linear SVM,0.8486238532110092,0.6939958592132505,0.5416666666666666,0.6939958592132505,0.7358490566037735,0.42857142857142855
RBF SVM,0.8555045871559633,0.686207994903647,0.5333333333333333,0.686207994903647,0.8181818181818182,0.3956043956043956
Gaussian Process,0.8371559633027523,0.690794712533843,0.5298013245033112,0.690794712533843,0.6666666666666666,0.43956043956043955
Decision Tree,0.8142201834862385,0.5994425863991082,0.34146341463414637,0.5994425863991082,0.65625,0.23076923076923078
Random Forest,0.8394495412844036,0.7043796782927217,0.5512820512820512,0.7043796782927217,0.6615384615384615,0.4725274725274725
Neural Net,0.8555045871559633,0.7873387482083134,0.6594594594594595,0.7873387482083134,0.648936170212766,0.6703296703296703
AdaBoost,0.8440366972477065,0.7800923713967192,0.6421052631578946,0.7800923713967193,0.6161616161616161,0.6703296703296703
Naive Bayes,0.7912844036697247,0.5,0.0,0.5,0.0,0.0
